學校名稱,學校首頁,公告網址
財團法人屏榮高中,http://www.prhs.ptc.edu.tw,https://www.prhs.ptc.edu.tw/?p=39164
花蓮縣立體育高中,http://www.hpehs.hlc.edu.tw,https://www.hpehs.hlc.edu.tw/modules/tadnews/page.php?ncsn=61
私立宜寧高中,http://www.inhs.tc.edu.tw,找不到公告連結
國立海洋大學附屬基隆海事,http://www.klms.ntou.edu.tw/,http://www.klms.ntou.edu.tw/細說海事/最新公告.html
縣立南平中學,http://www.nphs.hlc.edu.tw,https://www.nphs.hlc.edu.tw/modules/tadnews/
國立澎湖海事水產,http://www.phmhs.phc.edu.tw,http://www.phmhs.phc.edu.tw/Content/newslist.aspx?ntid=7&cmid=2
私立曉明女中,http://www.smgsh.tc.edu.tw,找不到公告連結
私立東大附中,https://www.hn.thu.edu.tw/index.php,找不到公告連結
市立成德高中,http://www.cdjh.hc.edu.tw,找不到公告連結
私立培德工家,http://www.ptvs.kl.edu.tw,找不到公告連結
國立竹科實驗高級中等學校,https://www.nehs.hc.edu.tw,https://www.nehs.hc.edu.tw/?cat=8
私立明德高中,http://www.mdhs.tc.edu.tw,找不到公告連結
私立曙光女中,http://www.sggs.hc.edu.tw,https://www.sggs.hc.edu.tw/category/news/
市立中山高中,https://csjh.kl.edu.tw/,https://csjh.kl.edu.tw/gong-gao-qu/近期公告/高中升學資訊/115xue-nian-du-ji-long-shi-gao-ji-zhong-deng-xue-xiao-you-xian-mian-shi-lu-qu-ming-dan-gong-gao
私立光復高中,http://www.kfsh.hc.edu.tw,http://www.kfsh.hc.edu.tw/article/4
私立嶺東高中,https://www.lths.tc.edu.tw/home,找不到公告連結
國立興大附農,http://www.tcavs.tc.edu.tw,http://www.tcavs.tc.edu.tw/news.asp?prokid=20140124172013&proid=20140128144331
市立香山高中,http://www.hhjh.hc.edu.tw,找不到公告連結
市立臺中女中,https://tcgs.tc.edu.tw/,找不到公告連結
私立葳格高中,https://senior.wagor.tc.edu.tw/,https://senior.wagor.tc.edu.tw/psn/24976
市立八斗高中,https://bdjh.kl.edu.tw/,https://bdjh.kl.edu.tw/最新公告
市立安樂高中,https://aljh.kl.edu.tw/,https://aljh.kl.edu.tw/公告區/人事訊息/【徵才】交通車司機徵選-重發
市立忠明高中,https://cmsh.tc.edu.tw/,找不到公告連結
國立嘉義高商,http://www.cyvs.cy.edu.tw,找不到公告連結
臺中市新民高中,https://www.shinmin.tc.edu.tw/ischool/publish_page/0/,https://www.shinmin.tc.edu.tw/ischool/publish_page/0/#cmb_3_0
市立暖暖高中,https://nnjh.kl.edu.tw/,https://nnjh.kl.edu.tw/校務公告
市立惠文高中,https://hwsh.tc.edu.tw/,找不到公告連結
市立臺中二中,https://tcssh.tc.edu.tw/,找不到公告連結
市立臺中高工,https://tcivs.tc.edu.tw/,找不到公告連結
私立衛道高中,http://www.vtsh.tc.edu.tw,https://www.vtsh.tc.edu.tw/category/news/
市立文華高中,https://whsh.tc.edu.tw/,找不到公告連結
私立立仁高中,https://www.ligvs.cy.edu.tw/,找不到公告連結
財團法人光華高工,http://www.khvs.tc.edu.tw,https://www.khvs.tc.edu.tw/category/%e5%90%84%e8%99%95%e5%ae%a4%e5%85%ac%e5%91%8a/
市立臺中一中,https://tcfsh.tc.edu.tw/,https://tcfsh.tc.edu.tw/p/412-1076-16451.php
私立二信高中,https://www.essh.kl.edu.tw/,https://www.essh.kl.edu.tw/?page_id=341
國立嘉義家職,https://www.cyhvs.cy.edu.tw/home,找不到公告連結
市立建功高中,https://www.cksh.hc.edu.tw/,找不到公告連結
